Row Labels,Sum of Population,Count of Name,,,,,,,,,,,
MAR," 8,757,562.00 ", 22.00 ,,CountryCode,Continent, Total_population_per_countryCode , Total_city_perCountry_Code ,Ave_Total_per_city_per_country_code,Column1,Row Labels,Count of Regions,,
CZE," 2,634,711.00 ", 10.00 ,,TZA,Africa," 2,944,034.00 ", 10.00 ,294403.4,,,,,
DEU," 26,245,483.00 ", 93.00 ,,UGA,Africa," 890,800.00 ", 1.00 ,890800,,,,,
DJI," 383,000.00 ", 1.00 ,,ZAF,Africa," 15,196,370.00 ", 44.00 ,345372.0455,,,,,
DMA," 16,243.00 ", 1.00 ,,ZMB,Africa," 2,473,500.00 ", 7.00 ,353357.1429,,,,,
DNK," 1,215,945.00 ", 5.00 ,,ZWE,Africa," 2,730,420.00 ", 6.00 ,455070,,,,,
DOM," 2,438,276.00 ", 6.00 ,,AFG,Asia," 2,332,100.00 ", 4.00 ,583025,,,,,
DZA," 5,192,179.00 ", 18.00 ,,ARE,Asia," 1,728,336.00 ", 5.00 ,345667.2,,,,,
ECU," 5,744,142.00 ", 15.00 ,,ARM,Asia," 1,633,100.00 ", 3.00 ,544366.6667,,,,,
EGY," 20,083,079.00 ", 37.00 ,,AZE,Asia," 2,464,000.00 ", 4.00 ,616000,,,,,
ERI," 431,000.00 ", 1.00 ,,BGD,Asia," 8,569,906.00 ", 24.00 ,357079.4167,,,,,
ESH," 169,000.00 ", 1.00 ,,BHR,Asia," 148,000.00 ", 1.00 ,148000,,,,,
ESP," 16,669,189.00 ", 59.00 ,,BRN,Asia," 21,484.00 ", 1.00 ,21484,,,,,
EST," 505,227.00 ", 2.00 ,,BTN,Asia," 22,000.00 ", 1.00 ,22000,,,,,
ETH," 3,190,334.00 ", 7.00 ,,CHN,Asia," 175,953,614.00 ", 363.00 ,484720.6997,,,,,
FIN," 1,532,919.00 ", 7.00 ,,CYP,Asia," 349,400.00 ", 2.00 ,174700,,,,,
FJI," 77,366.00 ", 1.00 ,,GEO,Asia," 1,880,900.00 ", 5.00 ,376180,,,,,
FLK," 1,636.00 ", 1.00 ,,HKG,Asia," 3,300,633.00 ", 2.00 ,1650316.5,,,,,
FRA," 9,244,494.00 ", 40.00 ,,IDN,Asia," 37,485,695.00 ", 85.00 ,441008.1765,,,,,
FRO," 14,542.00 ", 1.00 ,,IND,Asia," 123,298,526.00 ", 341.00 ,361579.2551,,,,,
FSM," 30,600.00 ", 2.00 ,,IRN,Asia," 26,032,990.00 ", 67.00 ,388552.0896,,,,,
GAB," 419,000.00 ", 1.00 ,,IRQ,Asia," 8,926,041.00 ", 15.00 ,595069.4,,,,,
GBR," 22,436,673.00 ", 81.00 ,,ISR,Asia," 2,813,000.00 ", 14.00 ,200928.5714,,,,,
GEO," 1,880,900.00 ", 5.00 ,,JOR,Asia," 1,847,677.00 ", 5.00 ,369535.4,,,,,
GHA," 1,819,889.00 ", 5.00 ,,JPN,Asia," 77,965,107.00 ", 248.00 ,314375.4315,,,,,
GIB," 27,025.00 ", 1.00 ,,KAZ,Asia," 5,484,200.00 ", 21.00 ,261152.381,,,,,
GIN," 1,090,610.00 ", 1.00 ,,KGZ,Asia," 812,100.00 ", 2.00 ,406050,,,,,
GLP," 75,380.00 ", 2.00 ,,KHM,Asia," 805,055.00 ", 3.00 ,268351.6667,,,,,
GMB," 144,926.00 ", 2.00 ,,KOR,Asia," 38,999,893.00 ", 70.00 ,557141.3286,,,,,
GNB," 241,000.00 ", 1.00 ,,KWT,Asia," 261,252.00 ", 3.00 ,87084,,,,,
GNQ," 40,000.00 ", 1.00 ,,LAO,Asia," 628,452.00 ", 2.00 ,314226,,,,,
GRC," 1,972,843.00 ", 8.00 ,,LBN,Asia," 1,340,000.00 ", 2.00 ,670000,,,,,
GRD," 4,621.00 ", 1.00 ,,LKA,Asia," 1,545,000.00 ", 7.00 ,220714.2857,,,,,
GRL," 13,445.00 ", 1.00 ,,MAC,Asia," 437,500.00 ", 1.00 ,437500,,,,,
GTM," 1,225,188.00 ", 4.00 ,,MDV,Asia," 71,000.00 ", 1.00 ,71000,,,,,
GUF," 50,699.00 ", 1.00 ,,MMR,Asia," 6,203,000.00 ", 16.00 ,387687.5,,,,,
GUM," 10,639.00 ", 2.00 ,,MNG,Asia," 773,700.00 ", 1.00 ,773700,,,,,
GUY," 254,000.00 ", 1.00 ,,MYS,Asia," 4,605,141.00 ", 18.00 ,255841.1667,,,,,
HKG," 3,300,633.00 ", 2.00 ,,NPL,Asia," 1,132,403.00 ", 5.00 ,226480.6,,,,,
HND," 1,287,000.00 ", 3.00 ,,OMN,Asia," 537,096.00 ", 5.00 ,107419.2,,,,,
HRV," 1,168,883.00 ", 4.00 ,,PAK,Asia," 31,546,745.00 ", 59.00 ,534690.5932,,,,,
HTI," 1,517,338.00 ", 4.00 ,,PHL,Asia," 30,934,791.00 ", 136.00 ,227461.6985,,,,,
HUN," 2,953,310.00 ", 9.00 ,,PRK,Asia," 6,476,751.00 ", 13.00 ,498211.6154,,,,,
IDN," 37,485,695.00 ", 85.00 ,,PSE,Asia," 902,360.00 ", 6.00 ,150393.3333,,,,,
IND," 123,298,526.00 ", 341.00 ,,QAT,Asia," 355,000.00 ", 1.00 ,355000,,,,,
IRL," 609,041.00 ", 2.00 ,,SAU,Asia," 10,636,700.00 ", 24.00 ,443195.8333,,,,,
IRN," 26,032,990.00 ", 67.00 ,,SGP,Asia," 4,017,733.00 ", 1.00 ,4017733,,,,,
IRQ," 8,926,041.00 ", 15.00 ,,SYR,Asia," 4,477,784.00 ", 11.00 ,407071.2727,,,,,
ISL," 109,184.00 ", 1.00 ,,THA,Asia," 7,953,161.00 ", 12.00 ,662763.4167,,,,,
ISR," 2,813,000.00 ", 14.00 ,,TJK,Asia," 685,500.00 ", 2.00 ,342750,,,,,
ITA," 15,087,019.00 ", 58.00 ,,TKM,Asia," 972,600.00 ", 4.00 ,243150,,,,,
JAM," 314,140.00 ", 3.00 ,,TMP,Asia," 47,900.00 ", 1.00 ,47900,,,,,
JOR," 1,847,677.00 ", 5.00 ,,TUR,Asia," 28,327,028.00 ", 62.00 ,456887.5484,,,,,
JPN," 77,965,107.00 ", 248.00 ,,TWN,Asia," 13,569,336.00 ", 42.00 ,323079.4286,,,,,
KAZ," 5,484,200.00 ", 21.00 ,,UZB,Asia," 5,183,900.00 ", 17.00 ,304935.2941,,,,,
KEN," 3,522,793.00 ", 8.00 ,,VNM,Asia," 9,364,813.00 ", 22.00 ,425673.3182,,,,,
KGZ," 812,100.00 ", 2.00 ,,YEM,Asia," 1,743,700.00 ", 6.00 ,290616.6667,,,,,
KHM," 805,055.00 ", 3.00 ,,ALB,Europe," 270,000.00 ", 1.00 ,270000,,,,,
KIR," 7,281.00 ", 2.00 ,,AND,Europe," 21,189.00 ", 1.00 ,21189,,,,,
KNA," 11,600.00 ", 1.00 ,,AUT,Europe," 2,384,273.00 ", 6.00 ,397378.8333,,,,,
KOR," 38,999,893.00 ", 70.00 ,,BEL,Europe," 1,609,322.00 ", 9.00 ,178813.5556,,,,,
KWT," 261,252.00 ", 3.00 ,,BGR,Europe," 2,696,915.00 ", 10.00 ,269691.5,,,,,
LAO," 628,452.00 ", 2.00 ,,BIH,Europe," 599,106.00 ", 3.00 ,199702,,,,,
LBN," 1,340,000.00 ", 2.00 ,,BLR,Europe," 4,741,000.00 ", 16.00 ,296312.5,,,,,
LBR," 850,000.00 ", 1.00 ,,CHE,Europe," 914,200.00 ", 5.00 ,182840,,,,,
LBY," 2,697,007.00 ", 4.00 ,,CZE,Europe," 2,634,711.00 ", 10.00 ,263471.1,,,,,
LCA," 2,301.00 ", 1.00 ,,DEU,Europe," 26,245,483.00 ", 93.00 ,282209.4946,,,,,
LIE," 10,389.00 ", 2.00 ,,DNK,Europe," 1,215,945.00 ", 5.00 ,243189,,,,,
LKA," 1,545,000.00 ", 7.00 ,,ESP,Europe," 16,669,189.00 ", 59.00 ,282528.6271,,,,,
LSO," 297,000.00 ", 1.00 ,,EST,Europe," 505,227.00 ", 2.00 ,252613.5,,,,,
LTU," 1,473,317.00 ", 5.00 ,,FIN,Europe," 1,532,919.00 ", 7.00 ,218988.4286,,,,,
LUX," 80,700.00 ", 1.00 ,,FRA,Europe," 9,244,494.00 ", 40.00 ,231112.35,,,,,
LVA," 968,596.00 ", 3.00 ,,FRO,Europe," 14,542.00 ", 1.00 ,14542,,,,,
MAC," 437,500.00 ", 1.00 ,,GBR,Europe," 22,436,673.00 ", 81.00 ,276995.963,,,,,
MCO," 14,388.00 ", 2.00 ,,GIB,Europe," 27,025.00 ", 1.00 ,27025,,,,,
MDA," 1,193,300.00 ", 4.00 ,,GRC,Europe," 1,972,843.00 ", 8.00 ,246605.375,,,,,
MDG," 1,123,161.00 ", 5.00 ,,HRV,Europe," 1,168,883.00 ", 4.00 ,292220.75,,,,,
MDV," 71,000.00 ", 1.00 ,,HUN,Europe," 2,953,310.00 ", 9.00 ,328145.5556,,,,,
MEX," 59,752,521.00 ", 173.00 ,,IRL,Europe," 609,041.00 ", 2.00 ,304520.5,,,,,
MHL," 28,000.00 ", 1.00 ,,ISL,Europe," 109,184.00 ", 1.00 ,109184,,,,,
MKD," 444,299.00 ", 1.00 ,,ITA,Europe," 15,087,019.00 ", 58.00 ,260121.0172,,,,,
MLI," 809,552.00 ", 1.00 ,,LIE,Europe," 10,389.00 ", 2.00 ,5194.5,,,,,
MLT," 28,518.00 ", 2.00 ,,LTU,Europe," 1,473,317.00 ", 5.00 ,294663.4,,,,,
MMR," 6,203,000.00 ", 16.00 ,,LUX,Europe," 80,700.00 ", 1.00 ,80700,,,,,
MNG," 773,700.00 ", 1.00 ,,LVA,Europe," 968,596.00 ", 3.00 ,322865.3333,,,,,
MNP," 9,200.00 ", 1.00 ,,MCO,Europe," 14,388.00 ", 2.00 ,7194,,,,,
MOZ," 3,143,145.00 ", 12.00 ,,MDA,Europe," 1,193,300.00 ", 4.00 ,298325,,,,,
MRT," 764,900.00 ", 2.00 ,,MKD,Europe," 444,299.00 ", 1.00 ,444299,,,,,
MSR," 2,000.00 ", 1.00 ,,MLT,Europe," 28,518.00 ", 2.00 ,14259,,,,,
MTQ," 94,050.00 ", 1.00 ,,NLD,Europe," 5,180,049.00 ", 28.00 ,185001.75,,,,,
MUS," 337,280.00 ", 3.00 ,,NOR,Europe," 1,100,028.00 ", 5.00 ,220005.6,,,,,
MWI," 914,119.00 ", 2.00 ,,POL,Europe," 11,687,431.00 ", 44.00 ,265623.4318,,,,,
MYS," 4,605,141.00 ", 18.00 ,,PRT,Europe," 1,145,011.00 ", 5.00 ,229002.2,,,,,
MYT," 12,000.00 ", 1.00 ,,ROM,Europe," 7,469,006.00 ", 29.00 ,257551.931,,,,,
NAM," 169,000.00 ", 1.00 ,,RUS,Europe," 69,150,700.00 ", 189.00 ,365876.7196,,,,,
NCL," 76,293.00 ", 1.00 ,,SJM,Europe," 1,438.00 ", 1.00 ,1438,,,,,
NER," 653,857.00 ", 3.00 ,,SMR,Europe," 7,096.00 ", 2.00 ,3548,,,,,
NFK, 800.00 , 1.00 ,,SVK,Europe," 784,143.00 ", 3.00 ,261381,,,,,
NGA," 17,366,900.00 ", 64.00 ,,SVN,Europe," 386,518.00 ", 2.00 ,193259,,,,,
NIC," 1,269,223.00 ", 4.00 ,,SWE,Europe," 2,891,431.00 ", 15.00 ,192762.0667,,,,,
NIU, 682.00 , 1.00 ,,UKR,Europe," 20,074,000.00 ", 57.00 ,352175.4386,,,,,
NLD," 5,180,049.00 ", 28.00 ,,VAT,Europe, 455.00 , 1.00 ,455,,,,,
NOR," 1,100,028.00 ", 5.00 ,,YUG,Europe," 2,189,507.00 ", 8.00 ,273688.375,,,,,
NPL," 1,132,403.00 ", 5.00 ,,ABW,North America," 29,034.00 ", 1.00 ,29034,,,,,
NRU," 4,609.00 ", 2.00 ,,AIA,North America," 1,556.00 ", 2.00 ,778,,,,,
NZL," 1,847,600.00 ", 9.00 ,,ANT,North America," 2,345.00 ", 1.00 ,2345,,,,,
OMN," 537,096.00 ", 5.00 ,,ATG,North America," 24,000.00 ", 1.00 ,24000,,,,,
PAK," 31,546,745.00 ", 59.00 ,,BHS,North America," 172,000.00 ", 1.00 ,172000,,,,,
PAN," 786,755.00 ", 2.00 ,,BLZ,North America," 62,915.00 ", 2.00 ,31457.5,,,,,
PCN, 42.00 , 1.00 ,,BMU,North America," 3,000.00 ", 2.00 ,1500,,,,,
PER," 12,147,242.00 ", 22.00 ,,BRB,North America," 6,070.00 ", 1.00 ,6070,,,,,
PHL," 30,934,791.00 ", 136.00 ,,CAN,North America," 12,673,840.00 ", 49.00 ,258649.7959,,,,,
PLW," 12,000.00 ", 1.00 ,,CRI,North America," 339,131.00 ", 1.00 ,339131,,,,,
PNG," 247,000.00 ", 1.00 ,,CUB,North America," 4,629,925.00 ", 14.00 ,330708.9286,,,,,
POL," 11,687,431.00 ", 44.00 ,,CYM,North America," 19,600.00 ", 1.00 ,19600,,,,,
PRI," 1,564,174.00 ", 9.00 ,,DMA,North America," 16,243.00 ", 1.00 ,16243,,,,,
PRK," 6,476,751.00 ", 13.00 ,,DOM,North America," 2,438,276.00 ", 6.00 ,406379.3333,,,,,
